"date","plot.nm","treatment","vwc"
2019-04-16,38,"OC+",0.127083333333333
2019-04-16,39,"C-",0.125583333333333
2019-04-16,41,"R+",0.108333333333333
2019-04-16,42,"OC+",0.140208333333333
2019-04-16,45,"S-",0.1361875
2019-04-16,47,"V-",0.158020833333333
2019-04-16,48,"I-",0.148395833333333
2019-04-16,53,"C-",0.157333333333333
2019-04-16,54,"V+",0.16975
2019-04-16,56,"R-",0.133208333333333
2019-04-16,58,"OC-",0.118625
2019-04-17,2,"C-",0.127604166666667
2019-04-17,4,"R+",0.0704166666666667
2019-04-17,5,"R-",0.0602291666666667
2019-04-17,7,"OC-",0.09225
2019-04-17,8,"V+",0.145458333333333
2019-04-17,12,"C+",0.118958333333333
2019-04-17,13,"V+",0.179375
2019-04-17,14,"I-",0.1440625
2019-04-17,16,"V-",0.150541666666667
2019-04-17,17,"S-",0.0975833333333333
2019-04-17,21,"OC-",0.144104166666667
2019-04-17,22,"S-",0.141708333333333
2019-04-17,23,"OC+",0.142625
2019-04-17,27,"C+",0.095375
2019-04-17,30,"R-",0.0845
2019-04-17,32,"I-",0.1278125
2019-04-17,33,"V-",0.149020833333333
2019-04-17,35,"R+",0.118
2019-04-17,36,"C+",0.1365
2019-04-17,38,"OC+",0.122833333333333
2019-04-17,39,"C-",0.120979166666667
2019-04-17,41,"R+",0.104166666666667
2019-04-17,42,"OC+",0.137708333333333
2019-04-17,45,"S-",0.1319375
2019-04-17,47,"V-",0.152291666666667
2019-04-17,48,"I-",0.143916666666667
2019-04-17,53,"C-",0.154645833333333
2019-04-17,54,"V+",0.165
2019-04-17,56,"R-",0.129875
2019-04-17,58,"OC-",0.115395833333333
2019-04-18,2,"C-",0.1231875
2019-04-18,4,"R+",0.0675
2019-04-18,5,"R-",0.059625
2019-04-18,7,"OC-",0.0867916666666667
2019-04-18,8,"V+",0.136916666666667
2019-04-18,12,"C+",0.114125
2019-04-18,13,"V+",0.173166666666667
2019-04-18,14,"I-",0.139375
2019-04-18,16,"V-",0.144333333333333
2019-04-18,17,"S-",0.0924166666666667
2019-04-18,21,"OC-",0.140104166666667
2019-04-18,22,"S-",0.137708333333333
2019-04-18,23,"OC+",0.138
2019-04-18,27,"C+",0.0894583333333333
2019-04-18,30,"R-",0.0792708333333333
2019-04-18,32,"I-",0.123708333333333
2019-04-18,33,"V-",0.143604166666667
2019-04-18,35,"R+",0.115
2019-04-18,36,"C+",0.132875
2019-04-18,38,"OC+",0.118708333333333
2019-04-18,39,"C-",0.1161875
2019-04-18,41,"R+",0.100916666666667
2019-04-18,42,"OC+",0.13525
2019-04-18,45,"S-",0.127104166666667
2019-04-18,47,"V-",0.146604166666667
2019-04-18,48,"I-",0.139
2019-04-18,53,"C-",0.1516875
2019-04-18,54,"V+",0.160541666666667
2019-04-18,56,"R-",0.126375
2019-04-18,58,"OC-",0.111833333333333
2019-04-19,2,"C-",0.119479166666667
2019-04-19,4,"R+",0.0655833333333333
2019-04-19,5,"R-",0.0593958333333333
2019-04-19,7,"OC-",0.0823541666666667
2019-04-19,8,"V+",0.129458333333333
2019-04-19,12,"C+",0.110041666666667
2019-04-19,13,"V+",0.168041666666667
2019-04-19,14,"I-",0.135291666666667
2019-04-19,16,"V-",0.1393125
2019-04-19,17,"S-",0.088375
2019-04-19,21,"OC-",0.137
2019-04-19,22,"S-",0.134583333333333
2019-04-19,23,"OC+",0.134583333333333
2019-04-19,27,"C+",0.0849166666666667
2019-04-19,30,"R-",0.0751875
2019-04-19,32,"I-",0.120395833333333
2019-04-19,33,"V-",0.1389375
2019-04-19,35,"R+",0.11275
2019-04-19,36,"C+",0.129625
2019-04-19,38,"OC+",0.114875
2019-04-19,39,"C-",0.11225
2019-04-19,41,"R+",0.09925
2019-04-19,42,"OC+",0.13325
2019-04-19,45,"S-",0.123291666666667
2019-04-19,47,"V-",0.141875
2019-04-19,48,"I-",0.1346875
2019-04-19,53,"C-",0.149104166666667
2019-04-19,54,"V+",0.157
2019-04-19,56,"R-",0.123541666666667
2019-04-19,58,"OC-",0.108791666666667
2019-04-20,2,"C-",0.115833333333333
2019-04-20,4,"R+",0.0637916666666667
2019-04-20,5,"R-",0.0588333333333333
2019-04-20,7,"OC-",0.0780416666666667
2019-04-20,8,"V+",0.122208333333333
2019-04-20,12,"C+",0.106875
2019-04-20,13,"V+",0.163166666666667
2019-04-20,14,"I-",0.131083333333333
2019-04-20,16,"V-",0.134166666666667
2019-04-20,17,"S-",0.08475
2019-04-20,21,"OC-",0.1336875
2019-04-20,22,"S-",0.131541666666667
2019-04-20,23,"OC+",0.131041666666667
2019-04-20,27,"C+",0.0812083333333333
2019-04-20,30,"R-",0.0713958333333333
2019-04-20,32,"I-",0.117125
2019-04-20,33,"V-",0.134583333333333
2019-04-20,35,"R+",0.109916666666667
2019-04-20,36,"C+",0.126666666666667
2019-04-20,38,"OC+",0.111041666666667
2019-04-20,39,"C-",0.107979166666667
2019-04-20,41,"R+",0.0975
2019-04-20,42,"OC+",0.130791666666667
2019-04-20,45,"S-",0.119541666666667
2019-04-20,47,"V-",0.137229166666667
2019-04-20,48,"I-",0.130458333333333
2019-04-20,53,"C-",0.1468125
2019-04-20,54,"V+",0.153583333333333
2019-04-20,56,"R-",0.1208125
2019-04-20,58,"OC-",0.105854166666667
2019-04-21,2,"C-",0.113
2019-04-21,4,"R+",0.062875
2019-04-21,5,"R-",0.0587708333333333
2019-04-21,7,"OC-",0.0746666666666667
2019-04-21,8,"V+",0.11675
2019-04-21,12,"C+",0.10425
2019-04-21,13,"V+",0.15925
2019-04-21,14,"I-",0.127979166666667
2019-04-21,16,"V-",0.130145833333333
2019-04-21,17,"S-",0.0822708333333333
2019-04-21,21,"OC-",0.131458333333333
2019-04-21,22,"S-",0.129083333333333
2019-04-21,23,"OC+",0.128541666666667
2019-04-21,27,"C+",0.078625
2019-04-21,30,"R-",0.0686666666666667
2019-04-21,32,"I-",0.114416666666667
2019-04-21,33,"V-",0.131041666666667
2019-04-21,35,"R+",0.107666666666667
2019-04-21,36,"C+",0.124625
2019-04-21,38,"OC+",0.108208333333333
2019-04-21,39,"C-",0.104729166666667
2019-04-21,41,"R+",0.0965833333333333
2019-04-21,42,"OC+",0.12925
2019-04-21,45,"S-",0.116541666666667
2019-04-21,47,"V-",0.133729166666667
2019-04-21,48,"I-",0.127208333333333
2019-04-21,53,"C-",0.144833333333333
2019-04-21,54,"V+",0.151041666666667
2019-04-21,56,"R-",0.119041666666667
2019-04-21,58,"OC-",0.103520833333333
2019-04-22,2,"C-",0.110291666666667
2019-04-22,4,"R+",0.0619583333333333
2019-04-22,5,"R-",0.0584791666666667
2019-04-22,7,"OC-",0.0721041666666667
2019-04-22,8,"V+",0.1115
2019-04-22,12,"C+",0.10225
2019-04-22,13,"V+",0.155666666666667
2019-04-22,14,"I-",0.125166666666667
2019-04-22,16,"V-",0.126458333333333
2019-04-22,17,"S-",0.0801875
2019-04-22,21,"OC-",0.129395833333333
2019-04-22,22,"S-",0.127229166666667
2019-04-22,23,"OC+",0.126416666666667
2019-04-22,27,"C+",0.0767083333333333
2019-04-22,30,"R-",0.0666041666666667
2019-04-22,32,"I-",0.1119375
2019-04-22,33,"V-",0.128
2019-04-22,35,"R+",0.105916666666667
